Edad,Genero,Altura,Peso
40,Hombre,170,67
40,Mujer,154,72
40,Mujer,158,60
40,Mujer,158,89
40,Mujer,159,53
40,Mujer,160,60
40,Mujer,164,56
40,Mujer,167,65
40,Mujer,170,69
40,Mujer,171,80
40,Hombre,180,68
40,Mujer,155,68
40,Mujer,160,89
40,Mujer,164,93
40,Hombre,178,72
40,Mujer,157,82
40,Mujer,163,73
40,Mujer,164,58
40,Mujer,168,72
40,Mujer,170,80
40,Hombre,170,105
40,Hombre,173,105
40,Hombre,178,77
40,Hombre,182,112
40,Mujer,150,61
40,Mujer,157,72
40,Mujer,158,69
40,Mujer,160,60
40,Mujer,160,63
40,Mujer,168,63
40,Mujer,169,57
40,Mujer,160,58
40,Mujer,166,65
40,Mujer,178,67
40,Hombre,160,59
40,Hombre,165,71
40,Hombre,170,83
40,Hombre,178,80
40,Mujer,151,60
40,Mujer,158,56
40,Mujer,164,75
40,Mujer,169,74
40,Mujer,171,71
40,Mujer,150,58
40,Mujer,164,55
40,Mujer,166,91
40,Hombre,170,74
40,Hombre,180,76
40,Mujer,153,52
40,Mujer,162,62
40,Mujer,165,76
40,Hombre,166,70
40,Hombre,168,72
40,Hombre,178,80
40,Mujer,154,50
40,Mujer,157,55
40,Mujer,157,73
40,Mujer,164,67
40,Hombre,168,68
40,Hombre,168,95
40,Hombre,170,72
40,Hombre,170,82
40,Hombre,171,82
40,Hombre,179,82
40,Mujer,155,55
40,Mujer,162,57
40,Mujer,168,80
40,Hombre,176,96
40,Hombre,185,74
40,Mujer,160,70
40,Hombre,175,75
40,Mujer,162,58
40,Mujer,162,73
40,Hombre,175,90
40,Mujer,152,54
40,Mujer,160,72
40,Mujer,161,65
40,Mujer,162,130
40,Hombre,178,111
40,Hombre,185,99
40,Mujer,167,92
40,Mujer,168,60
40,Hombre,170,68
40,Hombre,172,88
40,Mujer,157,89
40,Hombre,164,67
40,Hombre,167,69
40,Mujer,157,63
40,Mujer,159,56
40,Mujer,159,58
40,Mujer,160,58
40,Mujer,160,62
40,Mujer,177,62
40,Hombre,170,70
40,Hombre,174,75
40,Hombre,175,73
40,Mujer,158,73
40,Mujer,159,48
40,Mujer,166,115
40,Mujer,168,99
40,Hombre,165,57
40,Mujer,161,65
40,Hombre,169,75
40,Hombre,170,95
40,Hombre,185,95
40,Mujer,172,166
40,Hombre,174,84
40,Hombre,176,106
40,Mujer,156,72
40,Mujer,156,83
40,Mujer,159,73
40,Mujer,164,67
40,Mujer,173,73
40,Hombre,168,73
40,Hombre,171,63
40,Mujer,159,78
40,Mujer,162,90
40,Mujer,165,63
40,Mujer,155,63
40,Mujer,159,62
40,Mujer,159,68
40,Hombre,168,60
40,Mujer,165,60
40,Mujer,167,67
40,Hombre,120,80
40,Hombre,155,71
40,Hombre,162,62
40,Hombre,169,93
40,Hombre,173,92
40,Mujer,155,68
40,Mujer,159,84
40,Mujer,160,63
40,Hombre,176,58
40,Hombre,187,57
40,Mujer,160,74
40,Mujer,163,69
40,Mujer,165,63
40,Mujer,170,60
40,Mujer,170,63
40,Mujer,163,60
40,Mujer,172,74
40,Hombre,162,60
40,Hombre,172,81
40,Hombre,174,67
40,Mujer,155,68
40,Mujer,156,65
40,Mujer,167,63
40,Mujer,168,79
40,Hombre,170,65
40,Hombre,170,67
40,Hombre,172,82
40,Hombre,179,80
40,Mujer,155,85
40,Mujer,158,43
40,Mujer,158,78
40,Mujer,162,76
40,Mujer,165,63
40,Hombre,165,65
40,Hombre,176,76
40,Mujer,153,48
40,Mujer,154,63
40,Mujer,154,82
40,Mujer,158,110
40,Mujer,160,58
40,Mujer,160,68
40,Mujer,165,62
40,Hombre,178,99
40,Mujer,150,46
40,Mujer,153,65
40,Mujer,157,75
40,Mujer,158,59
40,Mujer,159,67
40,Mujer,163,80
40,Mujer,165,62
40,Mujer,168,69
40,Mujer,169,62
40,Mujer,170,65
40,Mujer,171,62
40,Mujer,175,69
40,Hombre,174,89
40,Hombre,179,83
40,Mujer,150,65
40,Mujer,155,63
40,Mujer,162,52
40,Mujer,165,60
40,Mujer,169,70
40,Mujer,169,83
40,Hombre,170,60
40,Hombre,173,73
40,Hombre,178,66
40,Mujer,164,62
40,Mujer,164,68
40,Hombre,156,51
40,Hombre,180,94
40,Mujer,153,46
40,Mujer,161,65
40,Mujer,162,96
40,Mujer,165,80
40,Mujer,167,73
40,Hombre,167,73
40,Hombre,167,85
40,Hombre,175,63
40,Mujer,152,54
40,Mujer,156,57
40,Mujer,163,71
40,Mujer,164,73
40,Mujer,171,70
40,Hombre,176,70
40,Hombre,180,73
40,Mujer,149,47
40,Mujer,166,63
40,Mujer,168,73
40,Hombre,171,111
40,Hombre,174,86
40,Hombre,178,70
40,Mujer,160,58
40,Mujer,168,86
40,Mujer,169,93
40,Hombre,164,60
40,Mujer,160,61
40,Mujer,163,93
40,Mujer,164,96
40,Mujer,168,67
40,Mujer,169,86
40,Mujer,176,87
40,Hombre,158,62
40,Hombre,162,80
40,Hombre,176,58
40,Hombre,176,82
40,Hombre,180,88
40,Hombre,185,95
40,Mujer,155,86
40,Mujer,165,65
40,Mujer,170,64
40,Hombre,170,77
40,Hombre,171,71
40,Hombre,171,97
40,Hombre,171,120
40,Hombre,176,103
40,Mujer,153,50
40,Mujer,158,78
40,Mujer,160,50
40,Mujer,160,58
40,Mujer,168,66
40,Mujer,169,70
40,Mujer,170,85
40,Hombre,178,87
40,Mujer,156,47
40,Mujer,157,52
40,Mujer,160,70
40,Mujer,166,80
40,Hombre,169,82
40,Hombre,172,63
40,Mujer,159,58
40,Mujer,159,91
40,Mujer,169,77
40,Mujer,170,70
40,Hombre,161,74
40,Hombre,170,74
40,Hombre,171,88
40,Mujer,165,63
40,Hombre,160,66
40,Hombre,168,69
40,Hombre,174,74
40,Hombre,184,131
40,Mujer,158,53
40,Mujer,160,59
40,Mujer,160,65
40,Mujer,170,70
40,Hombre,176,87
40,Mujer,150,79
40,Mujer,155,55
40,Mujer,159,104
40,Mujer,160,65
40,Mujer,168,81
40,Mujer,172,71
40,Hombre,171,68
40,Mujer,158,54
40,Mujer,162,72
40,Mujer,162,76
40,Hombre,169,57
40,Mujer,157,56
40,Mujer,158,45
40,Mujer,160,55
40,Hombre,158,60
40,Hombre,174,92
40,Mujer,157,61
40,Mujer,157,83
40,Mujer,160,58
40,Mujer,165,63
40,Mujer,168,77
40,Mujer,170,66
40,Mujer,173,72
40,Mujer,185,74
40,Mujer,154,68
40,Mujer,158,50
40,Mujer,160,54
40,Mujer,164,97
40,Mujer,170,69
40,Mujer,170,95
40,Mujer,180,102
40,Hombre,170,73
40,Hombre,172,77
40,Hombre,177,72
40,Mujer,140,60
40,Mujer,155,58
40,Mujer,156,52
40,Mujer,156,57
40,Mujer,159,55
40,Mujer,160,57
40,Mujer,166,66
40,Mujer,153,64
40,Mujer,158,89
40,Mujer,162,88
40,Mujer,167,65
40,Mujer,173,73
40,Hombre,172,94
40,Hombre,180,74
40,Mujer,150,55
40,Mujer,157,58
40,Mujer,165,77
40,Mujer,166,66
40,Mujer,169,71
40,Hombre,172,55
40,Mujer,161,82
40,Mujer,178,55
40,Hombre,165,55
40,Hombre,170,86
40,Hombre,172,81
40,Mujer,159,93
40,Hombre,163,69
40,Hombre,165,74
40,Hombre,170,74
40,Hombre,170,74
40,Hombre,171,61
40,Hombre,172,69
40,Mujer,159,67
40,Mujer,159,93
40,Mujer,162,60
40,Hombre,167,69
40,Hombre,168,73
40,Hombre,174,72
40,Hombre,182,90
40,Mujer,152,57
40,Mujer,160,55
40,Mujer,160,70
40,Mujer,163,60
40,Mujer,165,74
40,Hombre,170,67
40,Hombre,170,70
40,Hombre,172,55
40,Hombre,182,80
40,Mujer,152,69
40,Mujer,155,119
40,Mujer,165,60
40,Hombre,167,64
40,Hombre,172,92
40,Hombre,180,80
40,Mujer,151,61
40,Mujer,158,58
40,Mujer,159,63
40,Mujer,162,71
40,Mujer,164,81
40,Mujer,165,74
40,Mujer,165,77
40,Mujer,167,80
40,Mujer,172,82
40,Hombre,166,68
40,Hombre,169,68
40,Hombre,174,65
40,Mujer,153,90
40,Mujer,156,89
40,Mujer,157,107
40,Mujer,158,78
40,Mujer,160,75
40,Hombre,170,69
40,Hombre,176,76
40,Hombre,180,60
40,Mujer,151,40
40,Mujer,153,86
40,Mujer,156,81
40,Mujer,160,78
40,Mujer,163,93
40,Hombre,177,80
40,Mujer,161,62
40,Mujer,162,62
40,Mujer,169,104
40,Hombre,168,100
40,Hombre,172,81
40,Hombre,174,85
40,Mujer,159,68
40,Mujer,160,64
40,Hombre,172,74
40,Mujer,156,84
40,Mujer,160,90
40,Mujer,165,57
40,Mujer,166,71
40,Hombre,169,73
40,Hombre,169,75
40,Hombre,173,63
40,Mujer,156,54
40,Mujer,158,59
40,Mujer,160,54
40,Mujer,160,60
40,Mujer,185,80
40,Hombre,171,79
40,Mujer,164,64
40,Mujer,165,68
40,Hombre,165,55
40,Hombre,168,57
40,Hombre,181,104
40,Mujer,159,49
40,Mujer,165,62
40,Hombre,165,67
40,Hombre,170,64
40,Hombre,173,75
40,Hombre,175,79
40,Hombre,178,64
40,Mujer,156,50
40,Mujer,159,50
40,Mujer,160,53
40,Mujer,161,56
40,Mujer,162,67
40,Mujer,178,74
40,Hombre,165,72
40,Hombre,168,72
40,Hombre,170,97
40,Hombre,176,65
40,Hombre,178,96
40,Mujer,156,84
40,Mujer,157,50
40,Mujer,158,53
40,Mujer,162,59
40,Mujer,168,53
40,Mujer,172,57
40,Mujer,172,132
40,Hombre,175,63
40,Hombre,185,75
40,Mujer,154,93
40,Mujer,159,60
40,Mujer,160,75
40,Mujer,156,66
40,Mujer,156,81
40,Mujer,162,75
40,Mujer,163,82
40,Mujer,168,71
40,Hombre,165,66
40,Hombre,170,85
40,Hombre,180,53
40,Mujer,153,48
40,Mujer,154,55
40,Mujer,158,70
40,Mujer,160,63
40,Mujer,162,68
40,Mujer,167,66
40,Mujer,168,77
40,Mujer,168,83
40,Mujer,170,81
40,Mujer,170,85
40,Mujer,157,61
40,Mujer,158,85
40,Mujer,161,81
40,Mujer,163,80
40,Mujer,164,53
40,Mujer,167,52
40,Hombre,170,73
40,Hombre,172,70
40,Hombre,178,70
40,Mujer,153,57
40,Mujer,155,56
40,Mujer,159,54
40,Mujer,163,71
40,Mujer,164,67
40,Mujer,165,95
40,Hombre,162,70
40,Hombre,170,54
40,Hombre,174,69
40,Hombre,174,82
40,Hombre,178,90
40,Hombre,185,76
40,Mujer,150,68
40,Mujer,153,52
40,Mujer,160,75
40,Mujer,162,68
40,Mujer,176,91
40,Hombre,160,65
40,Hombre,174,64
40,Hombre,177,89
40,Mujer,150,40
40,Mujer,153,44
40,Mujer,165,69
40,Mujer,166,98
40,Hombre,170,78
40,Mujer,154,55
40,Mujer,154,80
40,Mujer,157,72
40,Mujer,166,78
40,Hombre,170,74
40,Hombre,176,94
40,Hombre,193,90
40,Mujer,156,54
40,Mujer,159,84
40,Mujer,163,69
40,Mujer,169,60
40,Hombre,67,60
40,Hombre,164,48
40,Hombre,183,59
40,Mujer,162,72
40,Mujer,164,57
40,Mujer,164,61
40,Mujer,165,66
40,Mujer,174,58
40,Mujer,180,87
40,Hombre,163,61
40,Hombre,172,108
40,Hombre,182,93
40,Mujer,156,90
40,Mujer,165,70
40,Hombre,168,79
40,Hombre,176,81
40,Hombre,176,95
40,Mujer,164,78
40,Mujer,165,100
40,Mujer,168,69
40,Mujer,170,101
40,Mujer,178,78
40,Hombre,170,87
40,Hombre,175,74
40,Hombre,180,92
40,Hombre,189,98
40,Mujer,162,58
40,Mujer,165,63
40,Mujer,165,103
40,Hombre,168,71
40,Hombre,172,77
40,Hombre,176,75
40,Mujer,153,61
40,Mujer,161,75
40,Mujer,165,78
40,Hombre,153,65
40,Hombre,162,62
40,Hombre,165,65
40,Hombre,168,68
40,Hombre,170,72
40,Hombre,170,79
40,Hombre,180,82
40,Mujer,155,85
40,Mujer,159,79
40,Mujer,164,56
40,Mujer,170,68
40,Hombre,168,61
40,Hombre,176,83
40,Hombre,180,92
40,Mujer,154,52
40,Mujer,159,74
40,Mujer,160,70
40,Mujer,161,74
40,Mujer,162,57
40,Hombre,164,60
40,Hombre,172,69
40,Hombre,175,84
40,Mujer,157,64
40,Mujer,159,53
40,Mujer,163,57
40,Mujer,163,63
40,Mujer,164,78
40,Mujer,165,48
40,Mujer,165,77
40,Mujer,166,89
40,Hombre,157,56
40,Hombre,173,71
40,Hombre,174,76
40,Hombre,177,63
40,Mujer,150,60
40,Mujer,153,74
40,Mujer,156,100
40,Mujer,159,105
40,Mujer,160,100
40,Mujer,165,65
40,Hombre,172,70
40,Hombre,178,65
40,Hombre,179,70
40,Hombre,182,130
40,Mujer,148,51
40,Mujer,158,92
40,Mujer,159,49
40,Hombre,162,52
40,Hombre,170,70
40,Hombre,184,85
40,Mujer,159,46
40,Mujer,160,60
40,Mujer,161,56
40,Mujer,163,109
40,Mujer,165,65
40,Hombre,162,72
40,Hombre,177,73
40,Hombre,180,72
40,Mujer,160,90
40,Mujer,164,81
40,Mujer,165,60
40,Mujer,165,70
40,Mujer,165,80
40,Mujer,166,92
40,Hombre,176,90
40,Hombre,183,89
40,Mujer,150,65
40,Mujer,156,56
40,Mujer,157,60
40,Mujer,158,64
40,Mujer,160,60
40,Mujer,161,97
40,Mujer,164,74
40,Mujer,170,87
40,Hombre,169,78
40,Hombre,171,69
40,Hombre,174,93
40,Mujer,161,58
40,Mujer,165,52
40,Hombre,165,62
40,Hombre,168,64
40,Hombre,175,75
40,Hombre,178,70
40,Mujer,152,68
40,Mujer,163,73
40,Mujer,167,68
40,Mujer,168,80
40,Hombre,156,54
40,Hombre,158,78
40,Hombre,168,70
40,Mujer,157,54
40,Mujer,159,59
40,Mujer,162,54
40,Mujer,171,89
40,Hombre,163,62
40,Hombre,167,78
40,Hombre,174,74
40,Hombre,180,55
40,Hombre,181,72
40,Mujer,100,70
40,Mujer,152,77
40,Mujer,158,64
40,Mujer,159,82
40,Mujer,160,68
40,Mujer,161,63
40,Hombre,176,62
40,Mujer,164,73
40,Mujer,168,67
40,Hombre,168,61
40,Hombre,180,85
40,Mujer,152,90
40,Mujer,164,78
40,Mujer,165,85
40,Mujer,166,87
40,Mujer,167,57
40,Mujer,170,65
40,Hombre,163,87
40,Hombre,164,65
40,Hombre,167,93
40,Hombre,190,89
40,Mujer,154,74
40,Mujer,159,59
40,Mujer,159,83
40,Mujer,160,65
40,Mujer,162,60
40,Mujer,166,68
40,Mujer,175,70
40,Hombre,160,60
40,Hombre,163,67
40,Hombre,165,67
40,Hombre,170,79
40,Hombre,170,84
40,Mujer,156,60
40,Mujer,159,69
40,Mujer,165,67
40,Mujer,168,82
40,Mujer,168,127
40,Mujer,175,80
40,Hombre,158,80
40,Hombre,163,67
40,Hombre,174,80
40,Mujer,130,80
40,Mujer,151,61
40,Mujer,152,60
40,Mujer,155,85
40,Mujer,156,57
40,Mujer,168,54
40,Hombre,163,63
40,Hombre,167,68
40,Hombre,170,74
40,Mujer,155,73
40,Mujer,156,75
40,Mujer,159,61
40,Mujer,169,76
40,Mujer,176,62
40,Hombre,170,69
40,Hombre,170,74
40,Hombre,177,86
40,Mujer,160,62
40,Mujer,168,62
40,Mujer,170,53
40,Mujer,170,72
40,Hombre,162,74
40,Hombre,167,71
40,Hombre,171,78
40,Hombre,180,100
40,Mujer,160,61
40,Mujer,166,69
40,Hombre,160,57
40,Mujer,146,83.5
40,Mujer,150,59
40,Mujer,167,59
40,Mujer,169,73
40,Mujer,170,64
40,Mujer,173,76
40,Hombre,167,72
40,Hombre,176,87
40,Hombre,178,69
40,Hombre,178,75
40,Hombre,180,93
40,Mujer,150,51
40,Mujer,160,81
40,Mujer,164,58
40,Mujer,168,61
40,Mujer,170,62
40,Hombre,163,73
40,Hombre,175,78
40,Mujer,163,57
40,Mujer,170,69
40,Hombre,176,78
40,Mujer,158,68
40,Mujer,162,72
40,Mujer,164,63
40,Hombre,161,49
40,Mujer,155,50
40,Mujer,155,90
40,Hombre,170,78
40,Hombre,175,88
40,Hombre,176,57
40,Mujer,159,70
40,Mujer,163,55
40,Mujer,163,58
40,Mujer,165,65
40,Mujer,169,85
40,Hombre,152,40
40,Hombre,168,60
40,Hombre,169,66
40,Hombre,171,62
40,Hombre,178,170
40,Mujer,160,69
40,Mujer,161,67
40,Mujer,162,67
40,Mujer,177,75
40,Hombre,178,65
40,Mujer,156,75
40,Hombre,169,72
40,Hombre,175,80
40,Hombre,175,85
40,Hombre,181,95
40,Mujer,156,75
40,Mujer,167,93
40,Mujer,168,47
40,Mujer,170,75
40,Hombre,160,59
40,Hombre,164,75
40,Hombre,170,65
40,Hombre,175,88
40,Hombre,176,94
40,Mujer,161,74
40,Mujer,164,68
40,Mujer,165,72
40,Mujer,167,60
40,Mujer,167,70
40,Mujer,169,98
40,Mujer,170,67
40,Mujer,170,75
40,Hombre,169,65
40,Hombre,172,78
40,Mujer,160,93
40,Mujer,162,62
40,Mujer,165,64
40,Mujer,168,95
40,Mujer,170,81
40,Hombre,167,63
40,Hombre,170,70
40,Hombre,175,78
40,Mujer,158,77
40,Mujer,160,70
40,Mujer,160,86
40,Mujer,167,93
40,Mujer,168,78
40,Hombre,170,72
40,Mujer,149,55
40,Mujer,159,52
40,Mujer,159,61
40,Mujer,163,66
40,Hombre,164,68
40,Hombre,165,68
40,Hombre,168,63
40,Mujer,68,65
40,Mujer,157,56
40,Mujer,152,72
40,Mujer,164,60
40,Mujer,165,130
40,Mujer,167,76
40,Mujer,170,69
40,Mujer,170,80
40,Hombre,156,75
40,Hombre,160,58
40,Hombre,168,69
40,Hombre,178,79
40,Hombre,183,80
40,Mujer,153,61
40,Mujer,160,58
40,Mujer,162,86
40,Mujer,165,60
40,Mujer,165,61
40,Mujer,166,79
40,Hombre,172,64
40,Hombre,173,77
40,Mujer,155,72
40,Mujer,157,75
40,Mujer,162,62
40,Mujer,162,75
40,Mujer,164,59
40,Mujer,165,61
40,Mujer,165,65
40,Mujer,167,64
40,Mujer,169,72
40,Hombre,174,70
40,Hombre,180,70
40,Hombre,184,74
40,Hombre,185,87
40,Mujer,155,67
40,Mujer,156,66
40,Mujer,157,72
40,Mujer,158,58
40,Mujer,160,59
40,Hombre,175,100
